Day,Hour,Volum_SK,Volum_KO,Volum_BG,Volum_BV
30,20,265,178,281,446
30,21,206,142,231,323
30,22,164,89,120,233
30,23,82,46,51,123
31,0,27,12,19,33
31,1,32,13,11,17
31,2,8,7,6,8
31,3,13,5,8,9
31,4,32,9,7,20
31,5,76,45,32,52
31,6,253,109,98,259
31,7,833,434,630,1149
31,8,728,629,756,916
31,9,547,386,385,639
31,10,569,354,433,723
31,11,637,395,481,822
31,12,702,393,502,842
31,13,781,478,595,960
31,14,783,546,743,1019
31,15,884,749,968,1366
31,16,779,721,1063,1274
31,17,536,498,641,850
31,18,480,360,461,713
31,19,393,330,416,613
31,20,355,264,360,541
31,21,270,189,221,376
31,22,195,149,185,260
31,23,88,54,78,94
